,rate_loc,dispersion,frac_pos,prob_times_contacts,mobility,GoF,R,date
0,0.07801419338621614,3.9730376418481876,0.30757135234637367,,,638.429085297324,0.7021277404759453,15-06-2020
1,0.0777754115131131,2.2840043147980436,0.29764544340005233,,,642.3013858832029,0.699978703618018,16-06-2020
2,0.0682586252713137,3.149844017041216,0.28123577490275603,,,623.6188809932555,0.6143276274418232,17-06-2020
3,0.061637673242861596,1.6507873482390798,0.29803392431208153,,,604.74329848966,0.5547390591857544,18-06-2020
4,0.05985949349052422,1.670357126113615,0.2972534212676461,,,592.0875111827861,0.538735441414718,19-06-2020
5,0.05440399044280526,2.335424711045289,0.27050169817430647,,,544.3172728900612,0.48963591398524725,20-06-2020
6,0.06139852426734159,1.604267389365968,0.2663884988797186,,,577.8955192974055,0.5525867184060743,21-06-2020
7,0.08270383646180134,0.9364651234618702,0.23570441102456424,,,660.5992600685994,0.7443345281562121,22-06-2020
8,0.09581940410908518,0.6235294325149414,0.22561429451404502,,,675.3342604235115,0.8623746369817668,23-06-2020
9,0.0811608158091682,0.6954766853503379,0.22694477987178652,,,610.4752165482139,0.730447342282514,24-06-2020
10,0.08051871249627322,0.7528857140651724,0.22731620135792346,,,609.5183622424612,0.724668412466459,25-06-2020
11,0.06547208806452906,0.8645406655097645,0.23846568487040856,,,542.8330872959542,0.5892487925807616,26-06-2020
12,0.06447207431487517,1.3855834116665804,0.2143336435944443,,,543.590618483076,0.5802486688338766,27-06-2020
13,0.06821206426239297,2.0854401069847057,0.20407261308076602,,,531.1295446710966,0.6139085783615368,28-06-2020
14,0.07370698998098694,1.594834981856728,0.20884283490925332,,,543.7073420004052,0.6633629098288825,29-06-2020
15,0.0752618869317614,3.150374900279737,0.19166180854665646,,,524.1802059859358,0.6773569823858527,30-06-2020
16,0.07409380911795138,2.4156187654490178,0.1837266070172409,,,516.1225569692093,0.6668442820615624,01-07-2020
17,0.07915602281358683,1.1770021175719765,0.1925844850766416,,,539.33885775568,0.7124042053222814,02-07-2020
18,0.08619324187936678,0.8518046848590117,0.18833023910481617,,,545.5182770911395,0.7757391769143009,03-07-2020
19,0.07925315669168301,0.833720516359272,0.17888157031114613,,,518.9058363905491,0.713278410225147,04-07-2020
20,0.07796816956324004,0.8982480448308676,0.1847242620855228,,,498.9720182204438,0.7017135260691604,05-07-2020
21,0.09435659736301845,0.7421685837374133,0.16335488024205422,,,533.9827600752847,0.8492093762671661,06-07-2020
22,0.10651942028596334,0.7658678814929576,0.1531194564552809,,,539.8447136334623,0.9586747825736701,07-07-2020
23,0.1121200148963879,0.6912404744249931,0.14968697728339506,,,566.6873222493172,1.0090801340674913,08-07-2020
24,0.11902355967571844,0.9009116583700033,0.1613951781153786,,,577.187538135873,1.071212037081466,09-07-2020
25,0.1267551148328671,0.911848438024436,0.1461058898225863,,,590.1006297180752,1.140796033495804,10-07-2020
26,0.1391402183826389,0.8006267445065356,0.14335425331866455,,,632.1510932210806,1.2522619654437501,11-07-2020
27,0.1954042571684958,0.5240730384301451,0.14592308740002063,,,671.7236614525342,1.7586383145164621,12-07-2020
28,0.23155648310634763,0.5313223040801199,0.14444672357628555,,,721.6058571388031,2.0840083479571283,13-07-2020
29,0.22347497767000296,0.5662923792774779,0.14376178413442744,,,705.9268515856576,2.011274799030027,14-07-2020
30,0.2278874163866026,0.7725861639572594,0.15227145881411175,,,725.3521336006164,2.0509867474794232,15-07-2020
31,0.23212656946460164,0.6860734551407552,0.1547851449533256,,,773.7098832925246,2.089139125181415,16-07-2020
32,0.22928446296630114,0.9216659514806991,0.1478890697690487,,,777.1830028133046,2.0635601666967105,17-07-2020
33,0.24529982692388866,1.2046650156037975,0.14698220857450028,,,843.0774413324951,2.207698442314998,18-07-2020
34,0.22313760148610684,1.1096874986394365,0.14569570588859385,,,848.2845966038029,2.0082384133749613,19-07-2020
35,0.21413446406625591,1.3041056849969945,0.14664490333774208,,,818.3463240549551,1.9272101765963032,20-07-2020
36,0.20988649282964034,1.2035495739907875,0.14766304905283206,,,850.8605623410845,1.888978435466763,21-07-2020
37,0.20469385871672713,1.1447393269868353,0.15526283900064422,,,880.6409903929596,1.842244728450544,22-07-2020
38,0.21112577276984784,1.4280603350014895,0.15448659362279515,,,923.3536119261369,1.9001319549286309,23-07-2020
39,0.21039663905049694,1.4217014976560582,0.15024129710858394,,,950.7140228190163,1.8935697514544725,24-07-2020
40,0.19543965649300055,2.650328020608586,0.15524458018651105,,,943.6207982819076,1.758956908437005,25-07-2020
41,0.2160616795143817,1.5591358083407627,0.15610589009202602,,,1023.7298276299646,1.9445551156294354,26-07-2020
42,0.24524780974566254,1.5501625815444813,0.1481033666150293,,,1105.9747545723546,2.207230287710963,27-07-2020
43,0.25369499956602565,1.7175346412027923,0.15252773516280194,,,1132.933866553458,2.283254996094231,28-07-2020
44,0.2345043269149511,1.530433718731807,0.15277314306277046,,,1152.1169617091664,2.1105389422345597,29-07-2020
45,0.24271093024543958,1.5708334682142735,0.16361986087018007,,,1195.6637843274548,2.1843983722089564,30-07-2020
46,0.2230185712060953,1.4914400013165399,0.17360283359756395,,,1174.0023480269579,2.007167140854858,31-07-2020
47,0.20637279738707653,1.6071293996845828,0.19576422521676762,,,1164.8947135977633,1.8573551764836889,01-08-2020
48,0.22929909612441027,1.8213464837880105,0.20260297504342772,,,1200.9587952734678,2.0636918651196923,02-08-2020
49,0.2484253855551816,1.7790430695127086,0.21103040380942517,,,1240.8849049303878,2.235828469996634,03-08-2020
