,rate_loc,rate_mob,dispersion,frac_pos,frac_loc,prob_times_contacts,mobility,GoF,R,date
2,0.032827710412066856,0.11091198732716764,5.842644884594261,0.28123577490275603,0.44028375469158937,0.07456034900733974,3243835.0,577.2349560100517,0.6083631485814524,17-06-2020
3,0.023223636806670778,0.12384654843042729,2.321215829630731,0.29803392431208153,0.33871276124793726,0.0685643986990827,3156213.0,568.6090652948313,0.5517426963350724,18-06-2020
4,0.02620419365835639,0.09988570091265213,2.272389050074163,0.2972534212676461,0.4019420585015214,0.0651939579452027,3365183.0,563.3721582635096,0.5118847336590636,19-06-2020
5,0.03103526505630058,0.04394814029712095,2.7611147747875053,0.27050169817430647,0.5333239417263975,0.05819214670137966,5327222.0,526.0152261214192,0.4033166402181865,20-06-2020
6,0.03108983170845766,0.04916091712389725,1.922845403655058,0.2663884988797186,0.4845484284824154,0.06416248589605307,5799766.0,559.4568177991556,0.4195872775352438,21-06-2020
7,0.04158691442782393,0.10790997290471056,1.1475654879942785,0.23570441102456424,0.5202689751796575,0.0799334890447067,3063560.0,638.941656303837,0.6958147396763121,22-06-2020
8,0.029030483735854755,0.16645562692696286,0.8487412317268178,0.22561429451404502,0.3259127052797834,0.08907441552771996,3109797.0,640.5573548808808,0.7673725440452464,23-06-2020
9,0.0357799303082915,0.11082630334859198,0.8375393956538362,0.22694477987178652,0.4620599091824016,0.07743569523614979,3240363.0,592.2811119414196,0.6565015890333897,24-06-2020
10,0.03276728394708087,0.12043623534772913,0.9932159994487437,0.22731620135792346,0.426526903811004,0.07682348675852861,3153634.0,583.8305567645043,0.6589276903339869,25-06-2020
11,0.03138406845493511,0.08500592126350853,1.1518616188313269,0.23846568487040856,0.49297579965325794,0.06366249312239987,3273592.0,518.3042190394164,0.53499926465038,26-06-2020
12,0.032116514397942844,0.05712801176236427,1.7848011681209972,0.2143336435944443,0.49021709126106666,0.06551488099960817,5040081.0,519.607144794699,0.46234171208049013,27-06-2020
13,0.04560864263381788,0.039432086269253465,2.402796681584708,0.20407261308076602,0.6520412611180401,0.06994747932916667,5321223.0,518.9429721172063,0.5284688473547307,28-06-2020
