,lower_loc,upper_loc,lower_mob,upper_mob,lower_fracloc,upper_fracloc,lower_newlyinfected,upper_newlyinfected,lower_disp,upper_disp,date,lower_R,upper_R
0,0.017338249734256565,0.04350517827894255,0.12151926477896831,0.21296341675449845,0.18286895004049422,0.4824477493428957,0.07712079709304853,0.10005393315692399,3.651002445944303,3001034.6042994307,15-06-2020,0.625410349830556,0.8054006039320832
1,0.01579453935575237,0.045847786084529274,0.10559582939563418,0.19085070667551124,0.19450453053485459,0.5254434694928669,0.07223083364084956,0.0958389621984787,2.523941949352858,28.058468780407157,16-06-2020,0.5916336315365105,0.7724439747574645
2,0.019970091659511854,0.047404269621072706,0.07238750746907899,0.15725264273992676,0.26430726765964424,0.6157804564502823,0.06295183998006663,0.08356070061632336,2.6118736569334855,2963693.8494229983,17-06-2020,0.5205028026992136,0.6750832247864224
3,0.0104316077482769,0.03831583642269065,0.0640718380538915,0.16587720143377815,0.15196987189746175,0.626117584547176,0.057005914838401964,0.08238601255883071,1.4031127991129306,7.163320631140757,18-06-2020,0.4673955357098791,0.660136070558692
4,0.013689552571954892,0.04041618890395627,0.05250076619806835,0.15865575534279688,0.21181659885698423,0.635290246048311,0.05408717621962805,0.07978925987499742,1.3258502936761054,7.428072413614141,19-06-2020,0.4313595307951121,0.6183426446376961
5,0.01661523305698684,0.040860722389699476,0.019993854081708673,0.06674939349406353,0.30529399919634187,0.7450536435709839,0.047253859269479274,0.0679992961242253,1.393582448577346,9.358299516619343,20-06-2020,0.3172284395255298,0.4709401348996697
6,0.016149030455965985,0.041574869159259606,0.026682216480530846,0.07973127881579692,0.2561393055229854,0.6953257903432297,0.05380573290902597,0.0776149364473458,1.173891750780751,5.916843881553301,21-06-2020,0.3394439707889586,0.49820412087435906
7,0.024679516097584394,0.05849571822505152,0.06035786750195277,0.16988201411308826,0.29919416590618997,0.7278641754259834,0.06542844734499334,0.0973740971866409,0.7400265257275864,2.1516339733917937,22-06-2020,0.5669323828662662,0.8426543861818176
8,0.006866735341923852,0.04931290570429756,0.10825712936582138,0.2699274597817602,0.07187571745822988,0.5429321074766387,0.07287002083507418,0.10992023050293459,0.6118129679265302,1.215243989424714,23-06-2020,0.627797577319725,0.9410859440962145
9,0.018810009832735133,0.05422282471401964,0.06419657083858664,0.1620042826194927,0.23955460632389128,0.6796292840895566,0.06320379523654027,0.09693852545803337,0.603383220273451,1.313198538051002,24-06-2020,0.5361937625389546,0.8317649516581214
10,0.015938300586416355,0.04571805335441614,0.06917785332560089,0.17422927411377923,0.2116390156276294,0.6332914318620049,0.06329591038241747,0.09361462346720943,0.7418826093691143,1.7978620273227048,25-06-2020,0.5408577128056176,0.8028831091217788
11,0.019972664084578682,0.048407213064022264,0.03930642502707442,0.12163584956531365,0.31620483099800495,0.7489884472831074,0.05283511217661643,0.07243164868505195,0.7450499043783404,2.2798312102926768,26-06-2020,0.4492336608898546,0.6070614901453151
12,0.01530651505623928,0.044493668979236956,0.02585215257715253,0.08449551918386826,0.2440027718846155,0.7246556468236965,0.050519242617594336,0.07442179706441483,1.0091086418348032,4.664418445785281,27-06-2020,0.36920024999947204,0.533735597206224
13,0.02982654666290011,0.06040083186833396,0.013926697057048689,0.06921672013108687,0.43045776808013797,0.8710479586423251,0.05863284687718603,0.08249545181365878,1.6246286379926036,5.065906577268991,28-06-2020,0.4226651007262877,0.6226394371578677
14,0.023660901986532774,0.04721920939641591,0.07032659439364257,0.15786112207812078,0.29361394426311216,0.6216048119773206,0.06162166091552556,0.08492305430776949,1.34818710993152,6.12578242493244,29-06-2020,0.5363325300750822,0.7340059636124353
15,0.033359045101182455,0.06247535207970081,0.03204631137432202,0.11783470391133798,0.4528344875410152,0.8358975976603755,0.06546294705441226,0.08824742700544673,2.2662210814796193,469415.48257840995,30-06-2020,0.5739696598770807,0.7743826510091568
16,0.01811598861935634,0.054862139473516466,0.0728613185490249,0.18128763354019065,0.21471513436513115,0.6509079727423269,0.06841982088892201,0.09415352427103436,2.292012896941597,903210.7306094691,01-07-2020,0.5881415583660009,0.8145871607264579
17,0.007386487067806693,0.03626065458942964,0.09938994586352155,0.21759036184741612,0.09026445842625663,0.48751525626630954,0.06495245692989614,0.09837107109146964,1.3903035745596004,5.990146507857557,02-07-2020,0.5583519290211693,0.8455061307119577
18,0.003811129010970798,0.030376669868541362,0.11671868585671438,0.23134924087065914,0.040422184513966286,0.38058387583109776,0.07125043018823583,0.09825828127553156,1.0537758409395144,3.4732149778040307,03-07-2020,0.5967738809946879,0.8160581234845612
19,0.002476459426280898,0.028287291013406095,0.08163091889073136,0.14679298497913376,0.03257579467203814,0.36475491008860156,0.06344613555497813,0.09440075109194251,1.1335595471698736,3.3067632817873167,04-07-2020,0.4094151534774262,0.59241611172131
20,0.01133516992332369,0.05385027233996703,0.0331956298057587,0.14052485852345797,0.1309288308863096,0.7245971662075971,0.067466837799016,0.10281976608679277,0.8646952333929226,2.8996370704961576,05-07-2020,0.4502381086196321,0.6664204209793505
21,0.025417147094536605,0.0780766805880679,0.05708951013664075,0.226914732536145,0.2637091327447228,0.7995828999739891,0.07865258867834952,0.11723631069239668,0.5784002174698646,1.4027897479547817,06-07-2020,0.7150955531571678,1.082035081317313
22,0.02862431651199892,0.07194767075912036,0.08410163207298194,0.2448568771267308,0.2583464680048015,0.6554906185786538,0.08404536427649574,0.12218537192872746,0.6831070797902009,1.6649046761294337,07-07-2020,0.7628159933479486,1.1267452184181481
