,date,rate_loc,rate_mob,frac_loc,newlyinfected,R,disp,sample
0,15-06-2020,0.032487550320027966,0.16834959996954552,0.3481020413886333,0.09332766389542003,0.752102937249115,5.026685121467741,0.0
1,15-06-2020,0.028447272913037152,0.16175646844882965,0.3273387731363606,0.08690468483300258,0.6979723398830614,4470346.674061396,1.0
2,15-06-2020,0.03734165817318532,0.12679635912596082,0.4490080585736157,0.08316478392795502,0.6812247790021041,13.809207317940643,2.0
3,15-06-2020,0.0204014164705656,0.1844253607190267,0.23436118903715014,0.08705117325263116,0.6885216149391332,76.35269513985827,3.0
4,15-06-2020,0.028486449830824864,0.15719646831177725,0.333972023570249,0.08529591648515107,0.6857945280179357,8.640135483158293,4.0
5,15-06-2020,0.030293161243283184,0.14844850385533784,0.36088554360895053,0.08394118794658159,0.6778689803237345,1328616.3259019498,5.0
6,15-06-2020,0.03399084582232188,0.14350333068668952,0.3959250001987852,0.08585172900235102,0.6972482895353282,6.871271241170344,6.0
7,15-06-2020,0.043447616981930934,0.08351659644487473,0.5900819269174499,0.07362980460848631,0.6167715497828843,348.0218888443718,7.0
8,15-06-2020,0.034327579155070516,0.13729856730178955,0.40892398318923184,0.08394611362079303,0.6832049630845837,8.778765957047813,8.0
9,15-06-2020,0.023546232360796344,0.18705485788380807,0.2583345771793456,0.09114626705371176,0.7237801587621284,12.060760464933828,9.0
10,15-06-2020,0.02466237837472333,0.18806927468971213,0.26624895516454455,0.09262901467343498,0.7365169896104018,13.688792888792355,10.0
11,15-06-2020,0.042398198634510186,0.12301300778405513,0.4881545187401848,0.08685405339262298,0.7159113325977009,7.654739634096824,11.0
12,15-06-2020,0.03743742900457302,0.12016778301246116,0.4629618346560428,0.08086504372954875,0.6638693062044465,8.385608854981268,12.0
13,15-06-2020,0.03988738776104392,0.16429569546011058,0.4018376119257355,0.09926245472615339,0.8069348698002349,4.9162360382327694,13.0
14,15-06-2020,0.03182689418391866,0.1554205802410052,0.36169157012931286,0.0879945699938205,0.7106953027359372,12.740232489902352,14.0
15,15-06-2020,0.020496182537102503,0.21205075182413263,0.21101908450227908,0.0971295207039965,0.7652586257574746,14.031491814700416,15.0
16,15-06-2020,0.03800983204594333,0.1610042114805464,0.3951315561155373,0.09619538469569658,0.7811544633584957,7.862937892734436,16.0
17,15-06-2020,0.03710262848679684,0.17617294575472425,0.36819109309124276,0.10077003268952599,0.814737493815833,67.08501708964738,17.0
18,15-06-2020,0.031767739119813704,0.15795986022323702,0.3575310598102611,0.08885308911811071,0.717143731884053,30.33701202640118,18.0
19,15-06-2020,0.037384894622958756,0.14647937330352773,0.4139100852760455,0.09032129429275919,0.7356816049598556,35.13846069895399,19.0
20,15-06-2020,0.043557257547667344,0.16311302075818657,0.42492847441120574,0.10250491593443262,0.8364026778963577,22.991264961157867,20.0
21,15-06-2020,0.03564438587154838,0.15219664641066255,0.3932220793878762,0.0906469594154925,0.7358711560541846,918.2769318735119,21.0
22,15-06-2020,0.01768579857910118,0.22060616710121694,0.18155855295605317,0.09741099106128084,0.7637087366837927,9.605182072675772,22.0
23,15-06-2020,0.03169633300002962,0.13887800530798844,0.3870803736182445,0.0818856629276945,0.6640865256227986,24.710557967484053,23.0
24,15-06-2020,0.035799829720984194,0.1490880848109739,0.39919971789016623,0.08967899554186053,0.7287172955093869,6.60053937573683,24.0
25,15-06-2020,0.02840997014761274,0.13445762485642807,0.3689519680718868,0.07700181217647639,0.6226455954655591,23.090742063641187,25.0
26,15-06-2020,0.03200502524654904,0.14901381832527066,0.3727697696104503,0.08585735179114644,0.6946829920908484,10.140213321051938,26.0
27,15-06-2020,0.025014994908800645,0.18249254949967492,0.2749920422807142,0.09096625015521403,0.724340170800151,32.18769258025992,27.0
28,15-06-2020,0.0288178081328373,0.15649181686915664,0.33755328368220683,0.08537261974902942,0.6868127234350974,5.845398324006551,28.0
29,15-06-2020,0.03212384048358127,0.16168915506512574,0.3547364285780485,0.09055692591919254,0.7305632566521849,7.445390442727027,29.0
30,15-06-2020,0.032839489290363615,0.15583074784912612,0.3683398952332898,0.08915539618526679,0.7208492224928718,10.904889258634036,30.0
31,15-06-2020,0.03017985221607214,0.1686581848126829,0.3311682233049186,0.09113148572918621,0.7323780269037234,10.127181722205211,31.0
32,15-06-2020,0.029640588652863425,0.15762332821312727,0.3422530082583454,0.08660431884499199,0.6972560811339064,31.31706441108207,32.0
33,15-06-2020,0.031142050258594546,0.13695502618755825,0.3862032276183747,0.08063643188753318,0.6538624640811775,13.764871565054401,33.0
34,15-06-2020,0.023778723105440498,0.1765618446297634,0.27148791645832737,0.08758667205393086,0.6970265100539131,10.4208425733115,34.0
35,15-06-2020,0.030002621903498464,0.15716974822018132,0.3456426411385791,0.08680243214398266,0.6992374785267187,8.7725993659231,35.0
36,15-06-2020,0.02634704623786676,0.17919943381576459,0.2891841455018088,0.09110819748485126,0.7271682020040904,3.443549733644412,36.0
37,15-06-2020,0.03132723271357546,0.1283246326551512,0.40316806777306946,0.07770266352346279,0.6318045093652226,5.48046174628425,37.0
38,15-06-2020,0.030103844273808644,0.1837608521776437,0.31191345079882093,0.09651345332082241,0.7731899780026082,6.585356845829146,38.0
39,15-06-2020,0.02542623468426889,0.17304856500670782,0.289051044033684,0.08796451425827023,0.702061930937641,23.975449120701658,39.0
40,15-06-2020,0.01827914731562188,0.17241838712388635,0.2268174530932932,0.08058968596258512,0.6366170277241912,8.50477946640525,40.0
