,rate_loc,frac_pos,GoF,R,date
0,0.037054841801374416,0.30757135234637367,761.2833484764544,0.6539062499999926,15-06-2020
1,0.03782903657142023,0.29764544340005233,755.1482311542492,0.6389648437499926,16-06-2020
2,0.03907319992780692,0.28123577490275603,692.1543872489,0.5888671874999925,17-06-2020
3,0.03409927324275493,0.29803392431208153,683.4277091696993,0.5141601562499923,18-06-2020
4,0.032067380067637666,0.2972534212676461,671.3788221228095,0.48779296874999245,19-06-2020
5,0.03696684129652563,0.27050169817430647,587.8342814332548,0.4781249999999925,20-06-2020
6,0.03827722579192595,0.2663884988797186,652.5112692733181,0.5229492187499923,21-06-2020
7,0.04860009016854748,0.23570441102456424,780.4502875810633,0.6363281249999926,22-06-2020
8,0.0441132197604385,0.22561429451404502,886.7578044051152,0.6886230468749925,23-06-2020
9,0.04192629070952543,0.22694477987178652,778.5906651241381,0.6134765624999926,24-06-2020
10,0.03930162034928803,0.22731620135792346,760.8564313239945,0.5985351562499924,25-06-2020
11,0.03913519289111718,0.23846568487040856,654.2977303273209,0.5471191406249925,26-06-2020
12,0.04444994759029207,0.2143336435944443,613.5468446367364,0.5835937499999926,27-06-2020
13,0.05192210967041312,0.20407261308076602,572.2095290662161,0.6187499999999926,28-06-2020
14,0.041297421084891595,0.20884283490925332,630.6085123696312,0.6099609374999926,29-06-2020
15,0.05344420831694153,0.19166180854665646,559.4702482408144,0.6644531249999928,30-06-2020
16,0.043522206749767145,0.1837266070172409,608.1945760201539,0.6903808593749926,01-07-2020
17,0.03225524807020415,0.1925844850766416,733.9015494783483,0.6653320312499926,02-07-2020
18,0.028196793310344415,0.18833023910481617,776.6159331755712,0.6653320312499926,03-07-2020
19,0.027697246082279935,0.17888157031114613,733.4639449762941,0.6512695312499924,04-07-2020
20,0.043082120865583426,0.1847242620855228,634.8366628134477,0.7233398437499926,05-07-2020
21,0.0689454330447917,0.16335488024205422,664.5479198043386,0.9210937499999928,06-07-2020
22,0.07120130852694284,0.1531194564552809,810.5355543960134,1.085449218749993,07-07-2020
23,0.07895296913171,0.14968697728339506,904.0491578590411,1.195312499999993,08-07-2020
24,0.08852487709154944,0.1613951781153786,874.3596652070993,1.261230468749993,09-07-2020
25,0.1103720989762224,0.1461058898225863,896.029821751897,1.3965820312499932,10-07-2020
26,0.12100552178919316,0.14335425331866455,875.0073135584797,1.4071289062499932,11-07-2020
27,0.12402625715360036,0.14592308740002063,1080.6687742224647,1.5767578124999932,12-07-2020
28,0.11624912768533546,0.14444672357628555,1232.9414335990732,1.7024414062499935,13-07-2020
29,0.09811784692937314,0.14376178413442744,1302.390604391939,1.6787109374999936,14-07-2020
30,0.11243388429908802,0.15227145881411175,1177.5232088435794,1.6444335937499934,15-07-2020
31,0.12590112603945167,0.1547851449533256,1221.1476656661825,1.7041992187499935,16-07-2020
32,0.14119372347234715,0.1478890697690487,1156.4493434328288,1.7683593749999937,17-07-2020
33,0.13887355878367041,0.14698220857450028,1180.7956081744949,1.8281249999999936,18-07-2020
34,0.12072987495410406,0.14569570588859385,1252.4236881287586,1.6883789062499934,19-07-2020
35,0.12160330648377257,0.14664490333774208,1206.3912259676365,1.6549804687499936,20-07-2020
36,0.11833253240787862,0.14766304905283206,1277.3119100873341,1.6189453124999935,21-07-2020
37,0.10842804666583747,0.15526283900064422,1373.001002679174,1.5600585937499938,22-07-2020
38,0.1265355412752424,0.15448659362279515,1304.0699770507413,1.6874999999999936,23-07-2020
39,0.14270777626853862,0.15024129710858394,1318.9443429153232,1.7762695312499934,24-07-2020
40,0.15494115476030842,0.15524458018651105,1175.966547217752,1.8166992187499937,25-07-2020
41,0.1513498855382202,0.15610589009202602,1397.6149300799834,1.8896484374999942,26-07-2020
42,0.17789182003788373,0.1481033666150293,1501.7999443630263,2.1120117187499945,27-07-2020
43,0.19187244713047724,0.15252773516280194,1577.3504480631386,2.1946289062499944,28-07-2020
44,0.19292360856884386,0.15277314306277046,1716.9983847835272,2.175292968749994,29-07-2020
45,0.19443439637465754,0.16361986087018007,1725.656849100162,2.197265624999994,30-07-2020
46,0.17958046174140632,0.17360283359756395,1660.1790164513332,2.012695312499994,31-07-2020
47,0.1598271756852045,0.19576422521676762,1574.4216696049152,1.8210937499999937,01-08-2020
48,0.16059169009327873,0.20260297504342772,1637.7522874896797,1.8817382812499936,02-08-2020
49,0.14993927522655787,0.21103040380942517,1800.6624255700453,1.8931640624999941,03-08-2020
50,0.15058036155615662,0.21909033450962592,1876.5462792823864,1.9160156249999938,04-08-2020
51,0.1453140680717403,0.22602604319761074,1787.7313129772656,1.8096679687499932,05-08-2020
52,0.13994412489311991,0.23949530078142656,1696.1273140207504,1.6945312499999936,06-08-2020
53,0.1507083608210083,0.24806384535838374,1738.8199184945986,1.7534179687499938,07-08-2020
54,0.15734205982502314,0.2563392467939901,1645.9912584636243,1.7578124999999936,08-08-2020
55,0.12696727156639098,0.26735621435608875,1486.0086067380141,1.500292968749993,09-08-2020
56,0.1114459277733742,0.28389702173806275,1486.125052798131,1.362304687499993,10-08-2020
57,0.09294527730857835,0.290845883487092,1657.818739291435,1.2335449218749932,11-08-2020
58,0.08862085440312056,0.3028219376159617,1596.649466182248,1.168066406249993,12-08-2020
59,0.08247405753426704,0.31994821383131006,1401.4421129741602,1.0564453124999929,13-08-2020
60,0.0649137720943943,0.32628789639724753,1498.822209239497,0.9395507812499929,14-08-2020
61,0.06121522173285488,0.3420794426660739,1512.1172916619673,0.9004394531249926,15-08-2020
